01.01.20;Neujahrstag
02.01.20;Berchtoldstag
02.01.20;Berchtoldstag
02.03.20;Fasnachtsmontag
10.04.20;Karfreitag
13.04.20;Ostermontag
20.04.20;Sechsel�uten
01.05.20;Tag der Arbeit
21.05.20;Auffahrt
01.06.20;Pfingstmontag�
01.08.20;Nationalfeiertag
14.09.20;Knabenschiessen
25.12.20;Weihnachtstag
26.12.20;Stephanstag
